class_id,accuracy,recall,sepcificity,f1,prevalence,ppv_per_class,npv_per_class,auc
0,0.98,0.0,0.999999999994898,0.0,0.02,0.0,0.9799999999951,0.4285714285714286
1,0.335,0.6666666666666666,0.32994923857700537,0.029197080291970802,0.015,0.014925373134328358,0.9848484848335628,0.5008460236886633
2,0.67,0.37037037037037035,0.7167630057762038,0.23255813953488372,0.135,0.1694915254237288,0.8794326241072381,0.5198030400342539
3,0.995,0.0,0.9999999999949749,0.0,0.005,0.0,0.9949999999950251,0.1507537688442211
4,0.145,1.0,0.0,0.25327510917030566,0.145,0.145,0.0,0.5359951603145796
5,0.465,0.8888888888888888,0.44502617800814126,0.13008130081300814,0.045,0.07017543859649122,0.9883720930117631,0.6544502617801047
6,0.82,0.0,0.8677248677202767,0.0,0.055,0.0,0.9371428571375021,0.2938912938912939
7,0.12,1.0,0.027624309392112575,0.17757009345794392,0.095,0.09743589743589744,0.9999999998,0.4451875545216633
8,0.45,0.6,0.4421052631555679,0.09836065573770492,0.05,0.05357142857142857,0.9545454545346074,0.47210526315789475
9,0.735,0.3333333333333333,0.7474226804085184,0.07017543859649122,0.03,0.0392156862745098,0.9731543624095762,0.627147766323024
10,0.62,1.0,0.6180904522582006,0.02564102564102564,0.005,0.012987012987012988,0.9999999999918698,0.6934673366834171
11,0.065,1.0,0.060301507537385425,0.010582010582010581,0.005,0.005319148936170213,0.9999999999166667,0.6180904522613065
12,0.985,0.0,0.99494949494447,0.0,0.01,0.0,0.989949748738744,0.6944444444444444
13,0.885,0.0,0.9170984455911032,0.0,0.035,0.0,0.9619565217339024,0.536639526276832
