class_id,accuracy,recall,sepcificity,f1,prevalence,ppv_per_class,npv_per_class,auc
0,0.02,1.0,0.0,0.0392156862745098,0.02,0.02,0.0,0.42091836734693877
1,0.915,0.0,0.9289340101475689,0.0,0.015,0.0,0.983870967736646,0.6751269035532995
2,0.485,0.6296296296296297,0.4624277456620669,0.24817518248175183,0.135,0.15454545454545454,0.8888888888790123,0.5354313851423678
3,0.995,0.0,0.9999999999949749,0.0,0.005,0.0,0.9949999999950251,0.20603015075376885
4,0.8,0.06896551724137931,0.9239766081817312,0.09090909090909091,0.145,0.13333333333333333,0.8540540540494376,0.5416414599717685
5,0.955,0.0,0.9999999999947644,0.0,0.045,0.0,0.954999999995225,0.673065735892961
6,0.935,0.09090909090909091,0.9841269841217771,0.13333333333333333,0.055,0.25,0.9489795918318931,0.8119288119288119
7,0.905,0.0,0.9999999999944752,0.0,0.095,0.0,0.9049999999954751,0.6757778423960453
8,0.805,0.4,0.8263157894693353,0.1702127659574468,0.05,0.10810810810810811,0.9631901840431707,0.6336842105263157
9,0.92,0.16666666666666666,0.9432989690673026,0.1111111111111111,0.03,0.08333333333333333,0.9734042553139713,0.5163230240549828
10,0.05,1.0,0.04522613065303907,0.010416666666666666,0.005,0.005235602094240838,0.9999999998888889,0.8090452261306533
11,0.605,1.0,0.6030150753738542,0.024691358024691357,0.005,0.0125,0.9999999999916667,0.8341708542713568
12,0.99,0.0,0.9999999999949496,0.0,0.01,0.0,0.9899999999950501,0.7323232323232323
13,0.155,0.8571428571428571,0.12953367875580554,0.06629834254143646,0.035,0.034482758620689655,0.9615384615014793,0.6572908956328645
