class_id,accuracy,recall,sepcificity,f1,prevalence,ppv_per_class,npv_per_class,auc
0,0.765,0.25,0.775510204077676,0.04081632653061224,0.02,0.022222222222222223,0.9806451612839959,0.4119897959183674
1,0.465,1.0,0.45685279187585354,0.05309734513274336,0.015,0.02727272727272727,0.9999999999888889,0.8646362098138748
2,0.785,0.4074074074074074,0.8439306358332721,0.3384615384615385,0.135,0.2894736842105263,0.9012345678956715,0.7043459644615714
3,0.795,1.0,0.7939698492422415,0.046511627906976744,0.005,0.023809523809523808,0.999999999993671,0.7939698492462312
4,0.455,0.7241379310344828,0.40935672514380494,0.2781456953642384,0.145,0.1721311475409836,0.8974358974243918,0.56785642266586
5,0.425,0.5555555555555556,0.4188481675370741,0.08,0.045,0.04310344827586207,0.9523809523696145,0.5450843513670739
6,0.68,0.36363636363636365,0.6984126984090031,0.1111111111111111,0.055,0.06557377049180328,0.9496402877629523,0.5141895141895143
7,0.585,0.8421052631578947,0.5580110497206741,0.2782608695652174,0.095,0.16666666666666666,0.9711538461445081,0.6978772899098575
8,0.775,0.6,0.7842105263116621,0.21052631578947367,0.05,0.1276595744680851,0.9738562091439618,0.71
9,0.805,0.5,0.8144329896865236,0.13333333333333333,0.03,0.07692307692307693,0.9813664596212338,0.700171821305842
10,0.945,0.0,0.9497487437138205,0.0,0.005,0.0,0.9947368421000278,0.31658291457286436
11,0.81,0.0,0.8140703517547032,0.0,0.005,0.0,0.9938650306687493,0.542713567839196
12,0.715,1.0,0.7121212121176156,0.06557377049180328,0.01,0.03389830508474576,0.9999999999929079,0.9191919191919192
13,0.36,0.7142857142857143,0.34715025906555885,0.07246376811594203,0.035,0.03816793893129771,0.9710144927395504,0.5877128053293856
