class_id,accuracy,recall,sepcificity,f1,prevalence,ppv_per_class,npv_per_class,auc
0,0.895,0.0,0.9132653061177896,0.0,0.02,0.0,0.9781420764973873,0.4005102040816326
1,0.985,0.0,0.999999999994924,0.0,0.015,0.0,0.984999999995075,0.7445008460236886
2,0.825,0.1111111111111111,0.9364161849656855,0.14634146341463414,0.135,0.21428571428571427,0.8709677419308013,0.6060800685078142
3,0.995,0.0,0.9999999999949749,0.0,0.005,0.0,0.9949999999950251,0.457286432160804
4,0.695,0.2413793103448276,0.7719298245568893,0.18666666666666668,0.145,0.15217391304347827,0.8571428571372913,0.5265174430328695
5,0.72,0.5555555555555556,0.7277486910956663,0.15151515151515152,0.045,0.08771929824561403,0.9720279720211747,0.6346713205351948
6,0.24,0.8181818181818182,0.20634920634811457,0.10588235294117647,0.055,0.05660377358490566,0.9512195121719216,0.46512746512746517
7,0.285,0.6842105263157895,0.24309392265059065,0.15384615384615385,0.095,0.08666666666666667,0.8799999999824001,0.40942134341378306
8,0.94,0.0,0.9894736842053186,0.0,0.05,0.0,0.9494949494901541,0.5773684210526315
9,0.17,0.8333333333333334,0.1494845360817037,0.056818181818181816,0.03,0.029411764705882353,0.9666666666344444,0.6692439862542956
10,0.07,1.0,0.06532663316550087,0.010638297872340425,0.005,0.0053475935828877,0.9999999999230769,0.5477386934673367
11,0.995,0.0,0.9999999999949749,0.0,0.005,0.0,0.9949999999950251,0.8090452261306533
12,0.92,0.0,0.9292929292882359,0.0,0.01,0.0,0.9892473118226385,0.4772727272727273
13,0.675,0.2857142857142857,0.6891191709808854,0.057971014492753624,0.035,0.03225806451612903,0.9637681159350452,0.5477424130273871
