class_id,accuracy,recall,sepcificity,f1,prevalence,ppv_per_class,npv_per_class,auc
0,0.84,0.25,0.8520408163221835,0.058823529411764705,0.02,0.03333333333333333,0.982352941170692,0.4323979591836735
1,0.765,0.3333333333333333,0.7715736040569972,0.04081632653061224,0.015,0.021739130434782608,0.9870129870065779,0.5871404399323181
2,0.64,0.7407407407407407,0.6242774566437903,0.35714285714285715,0.135,0.23529411764705882,0.9391304347744424,0.7131235281524299
3,0.595,1.0,0.5929648241176233,0.024096385542168676,0.005,0.012195121951219513,0.9999999999915254,0.592964824120603
4,0.565,0.6896551724137931,0.5438596491196266,0.31496062992125984,0.145,0.20408163265306123,0.9117647058734141,0.6402500504133899
5,0.495,0.4444444444444444,0.4973821989502755,0.07339449541284404,0.045,0.04,0.9499999999905,0.5898778359511343
6,0.835,0.18181818181818182,0.8730158730112539,0.10810810810810811,0.055,0.07692307692307693,0.9482758620635157,0.5964405964405963
7,0.505,1.0,0.45303867403064624,0.2773722627737226,0.095,0.16101694915254236,0.9999999999878049,0.7571968595521954
8,0.73,0.6,0.7368421052592798,0.18181818181818182,0.05,0.10714285714285714,0.9722222222154707,0.738421052631579
9,0.865,0.5,0.8762886597892975,0.18181818181818182,0.03,0.1111111111111111,0.9826589595318922,0.6580756013745704
10,0.665,0.0,0.6683417085393552,0.0,0.005,0.0,0.992537313425429,0.2160804020100503
11,0.665,1.0,0.6633165829112396,0.028985507246376812,0.005,0.014705882352941176,0.9999999999924243,0.8442211055276382
12,0.335,1.0,0.3282828282811703,0.029197080291970802,0.01,0.014814814814814815,0.9999999999846153,0.7424242424242424
13,0.505,0.5714285714285714,0.5025906735725255,0.07476635514018691,0.035,0.04,0.9699999999903,0.5662472242783124
