class_id,accuracy,recall,sepcificity,f1,prevalence,ppv_per_class,npv_per_class,auc
0,0.54,0.25,0.5459183673441536,0.02127659574468085,0.02,0.011111111111111112,0.9727272727184297,0.451530612244898
1,0.82,0.6666666666666666,0.8223350253765365,0.1,0.015,0.05405405405405406,0.9938650306687493,0.7208121827411167
2,0.735,0.5185185185185185,0.7687861271631863,0.345679012345679,0.135,0.25925925925925924,0.9109589041033497,0.7139798758295868
3,0.925,0.0,0.9296482412013586,0.0,0.005,0.0,0.9946236559086311,0.3266331658291457
4,0.53,0.6206896551724138,0.5146198830379263,0.27692307692307694,0.145,0.1782178217821782,0.8888888888799101,0.6009276063722524
5,0.3,0.8888888888888888,0.27225130889909815,0.10256410256410256,0.045,0.05442176870748299,0.9811320754531863,0.6521233275159977
6,0.35,0.6363636363636364,0.33333333333156967,0.09722222222222222,0.055,0.05263157894736842,0.9402985074486522,0.49687349687349686
7,0.33,0.9473684210526315,0.26519337016428074,0.21176470588235294,0.095,0.11920529801324503,0.9795918367147023,0.671997673742367
8,0.745,0.5,0.7578947368381164,0.16393442622950818,0.05,0.09803921568627451,0.9664429530136481,0.6573684210526316
9,0.605,0.6666666666666666,0.603092783502046,0.09195402298850575,0.03,0.04938271604938271,0.9831932773026623,0.6503436426116839
10,0.71,1.0,0.7085427135642787,0.03333333333333333,0.005,0.01694915254237288,0.9999999999929079,0.949748743718593
11,0.835,1.0,0.834170854267165,0.05714285714285714,0.005,0.029411764705882353,0.9999999999939759,0.9748743718592965
12,0.63,0.5,0.6313131313099429,0.02631578947368421,0.01,0.013513513513513514,0.9920634920556185,0.7020202020202021
13,0.485,0.7142857142857143,0.47668393782136437,0.08849557522123894,0.035,0.04716981132075472,0.9787234042449071,0.6358253145817913
