class_id,accuracy,recall,sepcificity,f1,prevalence,ppv_per_class,npv_per_class,auc
0,0.64,0.25,0.6479591836701635,0.02702702702702703,0.02,0.014285714285714285,0.9769230769155622,0.36862244897959184
1,0.975,0.0,0.989847715731016,0.0,0.015,0.0,0.984848484843511,0.649746192893401
2,0.405,0.5555555555555556,0.3815028901712052,0.20134228187919462,0.135,0.12295081967213115,0.8461538461429979,0.48940269749518306
3,0.995,0.0,0.9999999999949749,0.0,0.005,0.0,0.9949999999950251,0.17085427135678388
4,0.37,0.7931034482758621,0.2982456140333436,0.26744186046511625,0.145,0.16083916083916083,0.894736842089566,0.5363984674329502
5,0.68,0.4444444444444444,0.6910994764361723,0.1111111111111111,0.045,0.06349206349206349,0.9635036496280037,0.5509016870273414
6,0.805,0.6363636363636364,0.8148148148105037,0.2641509433962264,0.055,0.16666666666666666,0.9746835442976286,0.8258778258778259
7,0.295,0.8947368421052632,0.2320441988937456,0.19428571428571428,0.095,0.10897435897435898,0.9545454545237604,0.5050886885722594
8,0.95,0.0,0.9999999999947369,0.0,0.05,0.0,0.9499999999952501,0.6599999999999999
9,0.955,0.0,0.9845360824691519,0.0,0.03,0.0,0.9695431472032003,0.4149484536082474
10,0.995,0.0,0.9999999999949749,0.0,0.005,0.0,0.9949999999950251,0.8743718592964824
11,0.995,0.0,0.9999999999949749,0.0,0.005,0.0,0.9949999999950251,0.2562814070351759
12,0.015,1.0,0.0050505050504795436,0.01990049751243781,0.01,0.010050251256281407,0.9999999989999999,0.3712121212121212
13,0.845,0.0,0.8756476683892453,0.0,0.035,0.0,0.960227272721817,0.6365655070318282
