class_id,accuracy,recall,sepcificity,f1,prevalence,ppv_per_class,npv_per_class,auc
0,0.525,0.25,0.530612244895252,0.020618556701030927,0.02,0.010752688172043012,0.9719626168133461,0.35841836734693877
1,0.15,1.0,0.13705583756275608,0.03409090909090909,0.015,0.017341040462427744,0.999999999962963,0.7089678510998308
2,0.83,0.07407407407407407,0.9479768786072372,0.10526315789473684,0.135,0.18181818181818182,0.8677248677202767,0.5594091201027618
3,0.995,0.0,0.9999999999949749,0.0,0.005,0.0,0.9949999999950251,0.24623115577889443
4,0.855,0.0,0.9999999999941521,0.0,0.145,0.0,0.8549999999957251,0.6172615446662633
5,0.105,0.8888888888888888,0.06806282722477454,0.08205128205128205,0.045,0.043010752688172046,0.928571428505102,0.5445026178010471
6,0.7,0.7272727272727273,0.6984126984090031,0.21052631578947367,0.055,0.12307692307692308,0.9777777777705351,0.6940836940836941
7,0.67,0.10526315789473684,0.729281767951772,0.05714285714285714,0.095,0.0392156862745098,0.8859060402625107,0.4925850537947078
8,0.95,0.0,0.9999999999947369,0.0,0.05,0.0,0.9499999999952501,0.35368421052631577
9,0.97,0.0,0.9999999999948455,0.0,0.03,0.0,0.9699999999951501,0.5541237113402062
10,0.37,1.0,0.366834170852428,0.015625,0.005,0.007874015748031496,0.9999999999863013,0.5326633165829145
11,0.005,1.0,0.0,0.009950248756218905,0.005,0.005,0.0,0.9547738693467337
12,0.145,1.0,0.13636363636294765,0.022857142857142857,0.01,0.011560693641618497,0.999999999962963,0.8156565656565656
13,0.965,0.14285714285714285,0.9948186528445865,0.2222222222222222,0.035,0.5,0.9696969696920723,0.7846039970392302
