class_id,accuracy,recall,sepcificity,f1,prevalence,ppv_per_class,npv_per_class,auc
0,0.105,1.0,0.0867346938771085,0.0427807486631016,0.02,0.02185792349726776,0.9999999999411765,0.5522959183673469
1,0.13,1.0,0.11675126903494036,0.03333333333333333,0.015,0.01694915254237288,0.9999999999565218,0.6548223350253807
2,0.625,0.4074074074074074,0.6589595375684454,0.2268041237113402,0.135,0.15714285714285714,0.8769230769163314,0.5664739884393063
3,0.995,0.0,0.9999999999949749,0.0,0.005,0.0,0.9949999999950251,0.23115577889447236
4,0.3,0.9310344827586207,0.19298245613922232,0.27835051546391754,0.145,0.16363636363636364,0.9428571428302042,0.49546279491833034
5,0.955,0.0,0.9999999999947644,0.0,0.045,0.0,0.954999999995225,0.6108202443280977
6,0.625,0.18181818181818182,0.6507936507902075,0.05063291139240506,0.055,0.029411764705882353,0.9318181818111226,0.4343434343434343
7,0.69,0.15789473684210525,0.7458563535870395,0.08823529411764706,0.095,0.061224489795918366,0.894039735093417,0.45245710962489094
8,0.05,1.0,0.0,0.09523809523809523,0.05,0.05,0.0,0.5394736842105263
9,0.885,0.0,0.9123711340159156,0.0,0.03,0.0,0.9672131147488131,0.5962199312714777
10,0.845,0.0,0.8492462311515113,0.0,0.005,0.0,0.9941176470529759,0.7185929648241206
11,0.205,1.0,0.20100502512461807,0.012422360248447204,0.005,0.00625,0.9999999999750001,0.8190954773869347
12,0.75,0.5,0.752525252521452,0.038461538461538464,0.01,0.02,0.9933333333267111,0.851010101010101
13,0.32,0.8571428571428571,0.30051813471346883,0.08108108108108109,0.035,0.0425531914893617,0.9830508474409653,0.7179866765358993
