class_id,accuracy,recall,sepcificity,f1,prevalence,ppv_per_class,npv_per_class,auc
0,0.98,0.0,0.999999999994898,0.0,0.02,0.0,0.9799999999951,0.4693877551020408
1,0.985,0.0,0.999999999994924,0.0,0.015,0.0,0.984999999995075,0.4128595600676818
2,0.865,0.0,0.9999999999942197,0.0,0.135,0.0,0.864999999995675,0.6369085848854634
3,0.995,0.0,0.9999999999949749,0.0,0.005,0.0,0.9949999999950251,0.6080402010050252
4,0.855,0.0,0.9999999999941521,0.0,0.145,0.0,0.8549999999957251,0.6192780802581166
5,0.955,0.0,0.9999999999947644,0.0,0.045,0.0,0.954999999995225,0.5852239674229203
6,0.945,0.0,0.999999999994709,0.0,0.055,0.0,0.9449999999952751,0.8504088504088504
7,0.905,0.0,0.9999999999944752,0.0,0.095,0.0,0.9049999999954751,0.5457981971503344
8,0.95,0.0,0.9999999999947369,0.0,0.05,0.0,0.9499999999952501,0.3768421052631579
9,0.97,0.0,0.9999999999948455,0.0,0.03,0.0,0.9699999999951501,0.5163230240549828
10,0.995,0.0,0.9999999999949749,0.0,0.005,0.0,0.9949999999950251,0.5577889447236181
11,0.995,0.0,0.9999999999949749,0.0,0.005,0.0,0.9949999999950251,0.7537688442211055
12,0.99,0.0,0.9999999999949496,0.0,0.01,0.0,0.9899999999950501,0.5126262626262627
13,0.965,0.0,0.9999999999948187,0.0,0.035,0.0,0.964999999995175,0.45669874167283486
