class_id,accuracy,recall,sepcificity,f1,prevalence,ppv_per_class,npv_per_class,auc
0,0.67,0.75,0.6683673469353655,0.08333333333333333,0.02,0.04411764705882353,0.9924242424167241,0.7334183673469388
1,0.735,0.3333333333333333,0.7411167512652735,0.03636363636363636,0.015,0.019230769230769232,0.9864864864798211,0.4686971235194586
2,0.705,0.5925925925925926,0.7225433525969795,0.3516483516483517,0.135,0.25,0.9191176470520653,0.6831513594519374
3,0.81,0.0,0.8140703517547032,0.0,0.005,0.0,0.9938650306687493,0.13567839195979903
4,0.625,0.6896551724137931,0.6140350877157075,0.34782608695652173,0.145,0.23255813953488372,0.9210526315708679,0.673119580560597
5,0.425,0.6666666666666666,0.4136125654428607,0.09448818897637795,0.045,0.05084745762711865,0.9634146341345925,0.578824898196626
6,0.455,0.6363636363636364,0.4444444444420929,0.11382113821138211,0.055,0.0625,0.9545454545346074,0.6253006253006254
7,0.525,0.5263157894736842,0.5248618784501389,0.17391304347826086,0.095,0.10416666666666667,0.9134615384527551,0.5830183192788602
8,0.795,0.3,0.821052631574626,0.1276595744680851,0.05,0.08108108108108109,0.957055214718055,0.6363157894736842
9,0.695,0.16666666666666666,0.7113402061819003,0.031746031746031744,0.03,0.017543859649122806,0.9650349650282166,0.42010309278350516
10,0.84,0.0,0.8442211055233959,0.0,0.005,0.0,0.9940828402308043,0.5326633165829145
11,0.615,1.0,0.6130653266300852,0.02531645569620253,0.005,0.01282051282051282,0.9999999999918032,0.7989949748743719
12,0.79,0.0,0.7979797979757678,0.0,0.01,0.0,0.9874999999938282,0.6994949494949495
13,0.645,0.8571428571428571,0.6373056994785632,0.14457831325301204,0.035,0.07894736842105263,0.9919354838629683,0.8142116950407106
