class_id,accuracy,recall,sepcificity,f1,prevalence,ppv_per_class,npv_per_class,auc
0,0.745,0.0,0.7602040816287745,0.0,0.02,0.0,0.9738562091439618,0.326530612244898
1,0.785,0.3333333333333333,0.7918781725848129,0.044444444444444446,0.015,0.023809523809523808,0.9873417721456498,0.8257191201353637
2,0.765,0.4444444444444444,0.8150289017293929,0.3380281690140845,0.135,0.2727272727272727,0.90384615384036,0.6032969385570541
3,0.86,0.0,0.8643216080358578,0.0,0.005,0.0,0.9942196531734439,0.18592964824120606
4,0.635,0.2413793103448276,0.7017543859608085,0.16091954022988506,0.145,0.1206896551724138,0.8450704225292601,0.46521476104053233
5,0.665,0.4444444444444444,0.675392670153532,0.10666666666666667,0.045,0.06060606060606061,0.962686567156995,0.6893542757417103
6,0.595,0.45454545454545453,0.6031746031714118,0.10989010989010989,0.055,0.0625,0.9499999999920833,0.5868205868205869
7,0.73,0.6842105263157895,0.7348066298301945,0.325,0.095,0.21311475409836064,0.956834532367217,0.7327711544053503
8,0.48,0.8,0.46315789473440444,0.13333333333333333,0.05,0.07272727272727272,0.9777777777669135,0.7147368421052631
9,0.625,0.16666666666666666,0.6391752577286641,0.025974025974025976,0.03,0.014084507042253521,0.9612403100700679,0.4647766323024055
10,0.665,0.0,0.6683417085393552,0.0,0.005,0.0,0.992537313425429,0.39698492462311563
11,0.7,1.0,0.6984924623080478,0.03225806451612903,0.005,0.01639344262295082,0.9999999999928059,0.9095477386934674
12,0.96,0.5,0.9646464646415928,0.2,0.01,0.125,0.9947916666614856,0.6616161616161617
13,0.39,0.7142857142857143,0.37823834196695216,0.07575757575757576,0.035,0.04,0.9733333333203555,0.615099925980755
