class_id,accuracy,recall,sepcificity,f1,prevalence,ppv_per_class,npv_per_class,auc
0,0.945,0.25,0.959183673464494,0.15384615384615385,0.02,0.1111111111111111,0.9842931937121242,0.5369897959183674
1,0.13,1.0,0.11675126903494036,0.03333333333333333,0.015,0.01694915254237288,0.9999999999565218,0.6734348561759729
2,0.18,0.9629629629629629,0.05780346820775836,0.24074074074074073,0.135,0.13756613756613756,0.9090909090082645,0.5900235495611219
3,0.995,0.0,0.9999999999949749,0.0,0.005,0.0,0.9949999999950251,0.29145728643216084
4,0.855,0.0,0.9999999999941521,0.0,0.145,0.0,0.8549999999957251,0.6110102843315185
5,0.925,0.0,0.9685863874294839,0.0,0.045,0.0,0.953608247417765,0.5392670157068062
6,0.84,0.2727272727272727,0.8730158730112539,0.15789473684210525,0.055,0.1111111111111111,0.953757225428013,0.6873496873496874
7,0.36,0.631578947368421,0.3314917127053509,0.15789473684210525,0.095,0.09022556390977443,0.8955223880463354,0.48066298342541436
8,0.175,1.0,0.13157894736772854,0.10810810810810811,0.05,0.05714285714285714,0.99999999996,0.5305263157894737
9,0.93,0.0,0.9587628865929961,0.0,0.03,0.0,0.9687499999949545,0.6237113402061856
10,0.735,0.0,0.7386934673329715,0.0,0.005,0.0,0.9932432432365322,0.5628140703517588
11,0.995,0.0,0.9999999999949749,0.0,0.005,0.0,0.9949999999950251,0.49246231155778897
12,0.21,0.5,0.20707070706966127,0.0125,0.01,0.006329113924050633,0.9761904761672336,0.3611111111111111
13,0.865,0.0,0.8963730569901743,0.0,0.035,0.0,0.9611111111057716,0.5566247224278312
